,home_team,away_team,defteam,yardline_100,fourth_down_converted,pass_length,penalty,down,yards_after_catch,play_type,game_seconds_remaining,air_yards,total_home_score,total_away_score,ydstogo,yards_gained,year,GameClock,yardline_half,score_diff
68,MIN,OAK,MIN,66.0,1.0,,0.0,4.0,,run,1220.0,,28,7,1,18,2019,20:20:00,16.0,21
69,MIN,OAK,MIN,39.0,0.0,,0.0,4.0,,run,1099.0,,28,7,1,0,2019,18:19:00,11.0,21
70,MIN,OAK,MIN,44.0,1.0,short,0.0,4.0,2.0,pass,720.0,4.0,31,7,3,6,2019,12:00:00,6.0,24
71,KC,BAL,KC,9.0,1.0,,0.0,4.0,,run,3008.0,,0,0,3,7,2019,50:08:00,41.0,0
72,KC,BAL,KC,66.0,1.0,,0.0,4.0,,run,2606.0,,7,6,1,5,2019,43:26:00,16.0,1
73,KC,BAL,KC,53.0,0.0,short,0.0,4.0,,pass,2438.0,2.0,7,6,2,0,2019,40:38:00,3.0,1
74,KC,BAL,BAL,41.0,0.0,,0.0,4.0,,run,1381.0,,23,13,1,0,2019,23:01:00,9.0,10
75,KC,BAL,KC,27.0,1.0,deep,0.0,4.0,1.0,pass,801.0,24.0,30,13,5,25,2019,13:21:00,23.0,17
76,GB,DEN,GB,1.0,1.0,,0.0,4.0,,run,1265.0,,24,16,1,1,2019,21:05:00,49.0,8
77,GB,DEN,GB,51.0,0.0,,0.0,4.0,,pass,143.0,,27,16,17,-6,2019,2:23:00,1.0,11
78,DAL,MIA,DAL,51.0,1.0,short,0.0,4.0,0.0,pass,427.0,8.0,24,6,6,8,2019,7:07:00,1.0,18
79,DAL,MIA,DAL,38.0,0.0,short,0.0,4.0,-1.0,pass,335.0,0.0,24,6,5,-1,2019,5:35:00,12.0,18
80,DAL,MIA,DAL,40.0,0.0,,0.0,4.0,,run,43.0,,31,6,2,1,2019,0:43:00,10.0,25
81,TB,NYG,NYG,41.0,1.0,,0.0,4.0,,run,3414.0,,0,0,1,3,2019,56:54:00,9.0,0
82,TB,NYG,TB,7.0,1.0,,0.0,4.0,,run,81.0,,31,31,5,7,2019,1:21:00,43.0,0
83,ARI,CAR,CAR,37.0,1.0,,0.0,4.0,,run,1174.0,,17,21,1,2,2019,19:34:00,13.0,-4
84,SF,PIT,SF,80.0,0.0,short,0.0,4.0,,pass,41.0,10.0,24,20,12,0,2019,0:41:00,30.0,4
85,SEA,NO,NO,41.0,0.0,,0.0,4.0,,run,1957.0,,7,13,1,-1,2019,32:37:00,9.0,-6
86,SEA,NO,SEA,1.0,1.0,short,0.0,4.0,1.0,pass,1367.0,0.0,7,26,1,1,2019,22:47:00,49.0,-19
87,SEA,NO,NO,13.0,0.0,short,0.0,4.0,,pass,1072.0,13.0,7,27,5,0,2019,17:52:00,37.0,-20
88,SEA,NO,NO,34.0,1.0,deep,0.0,4.0,2.0,pass,804.0,19.0,7,27,3,21,2019,13:24:00,16.0,-20
89,SEA,NO,NO,72.0,0.0,deep,0.0,4.0,,pass,587.0,37.0,14,27,1,0,2019,9:47:00,22.0,-13
90,LAC,HOU,HOU,57.0,1.0,short,0.0,4.0,0.0,pass,127.0,15.0,20,27,13,15,2019,2:07:00,7.0,-7
91,LAC,HOU,HOU,34.0,1.0,,0.0,4.0,,run,65.0,,20,27,2,4,2019,1:05:00,16.0,-7
92,CLE,LA,LA,40.0,0.0,,0.0,4.0,,run,559.0,,13,17,9,2,2019,9:19:00,10.0,-4
93,CLE,LA,LA,4.0,0.0,short,0.0,4.0,,pass,33.0,4.0,13,20,4,0,2019,0:33:00,46.0,-7
94,WAS,CHI,CHI,2.0,1.0,short,0.0,4.0,0.0,pass,795.0,2.0,15,28,2,2,2019,13:15:00,48.0,-13
95,WAS,CHI,CHI,56.0,1.0,short,0.0,4.0,0.0,pass,611.0,7.0,15,28,1,7,2019,10:11:00,6.0,-13
96,WAS,CHI,CHI,16.0,0.0,,0.0,4.0,,run,428.0,,15,28,1,-2,2019,7:08:00,34.0,-13
97,GB,PHI,PHI,1.0,0.0,short,0.0,4.0,,pass,548.0,1.0,27,34,1,0,2019,9:08:00,49.0,-7
98,ATL,TEN,TEN,39.0,0.0,,0.0,4.0,,run,2157.0,,7,17,1,-1,2019,35:57:00,11.0,-10
99,ATL,TEN,TEN,30.0,0.0,,0.0,4.0,,pass,1218.0,,10,24,1,-9,2019,20:18:00,20.0,-14
100,ATL,TEN,ATL,10.0,0.0,,0.0,4.0,,run,794.0,,10,24,1,-2,2019,13:14:00,40.0,-14
101,ATL,TEN,TEN,82.0,1.0,short,0.0,4.0,1.0,pass,746.0,7.0,10,24,4,8,2019,12:26:00,32.0,-14
102,ATL,TEN,TEN,25.0,0.0,,0.0,4.0,,pass,436.0,,10,24,4,-1,2019,7:16:00,25.0,-14
103,NYG,WAS,WAS,24.0,1.0,short,0.0,4.0,1.0,pass,3401.0,4.0,0,0,2,5,2019,56:41:00,26.0,0
104,MIA,LAC,LAC,54.0,0.0,short,0.0,4.0,5.0,pass,240.0,-3.0,10,30,12,2,2019,4:00:00,4.0,-20
105,IND,OAK,OAK,46.0,1.0,short,1.0,4.0,1.0,pass,1887.0,5.0,10,21,3,6,2019,31:27:00,4.0,-11
106,IND,OAK,IND,42.0,1.0,,0.0,4.0,,run,1412.0,,10,21,1,1,2019,23:32:00,8.0,-11
107,IND,OAK,OAK,82.0,1.0,,0.0,4.0,,run,539.0,,10,24,2,4,2019,8:59:00,32.0,-14
108,IND,OAK,OAK,48.0,1.0,deep,0.0,4.0,21.0,pass,79.0,27.0,23,31,6,48,2019,1:19:00,2.0,-8
109,DET,KC,DET,66.0,1.0,,0.0,4.0,,run,115.0,,30,27,8,15,2019,1:55:00,16.0,3
110,BAL,CLE,BAL,8.0,1.0,,0.0,4.0,,run,1830.0,,7,7,1,1,2019,30:30:00,42.0,0
111,BAL,CLE,CLE,69.0,0.0,short,0.0,4.0,,pass,499.0,4.0,18,30,3,0,2019,8:19:00,19.0,-12
112,BAL,CLE,CLE,74.0,1.0,short,0.0,4.0,16.0,pass,69.0,13.0,18,40,5,29,2019,1:09:00,24.0,-22
113,BUF,NE,NE,1.0,1.0,,0.0,4.0,,run,1540.0,,9,13,1,1,2019,25:40:00,49.0,-4
114,BUF,NE,NE,3.0,0.0,short,0.0,4.0,,pass,650.0,0.0,10,16,3,0,2019,10:50:00,47.0,-6
115,LA,TB,TB,40.0,0.0,short,0.0,4.0,,pass,1074.0,-3.0,20,31,2,0,2019,17:54:00,10.0,-11
116,CHI,MIN,MIN,43.0,1.0,,0.0,4.0,,run,3314.0,,0,0,1,1,2019,55:14:00,7.0,0
117,CHI,MIN,MIN,34.0,1.0,short,0.0,4.0,0.0,pass,1922.0,5.0,7,0,3,5,2019,32:02:00,16.0,7
118,CHI,MIN,CHI,69.0,1.0,deep,0.0,4.0,10.0,pass,1009.0,29.0,16,0,4,39,2019,16:49:00,19.0,16
119,CHI,MIN,CHI,74.0,0.0,short,0.0,4.0,,pass,140.0,4.0,16,6,5,0,2019,2:20:00,24.0,10
120,CHI,MIN,MIN,28.0,0.0,,0.0,4.0,,run,30.0,,16,6,12,1,2019,0:30:00,22.0,10
121,DEN,JAX,DEN,15.0,1.0,,0.0,4.0,,run,1316.0,,17,6,1,2,2019,21:56:00,35.0,11
122,NO,DAL,NO,57.0,0.0,,0.0,4.0,,run,1896.0,,6,3,1,1,2019,31:36:00,7.0,3
123,PIT,CIN,CIN,42.0,0.0,,0.0,4.0,,run,2946.0,,0,3,1,0,2019,49:06:00,8.0,-3
124,PIT,CIN,PIT,13.0,0.0,deep,0.0,4.0,,pass,668.0,13.0,24,3,13,0,2019,11:08:00,37.0,21
